beer,brewery,style,status
Collective Arts Ransack the Universe,Collective Arts Brewing,IPA,regular
Flying Monkeys Smashbomb Atomic IPA,Flying Monkeys Craft Brewery,IPA,regular
Collective Arts Life in the Clouds,Collective Arts Brewing,IPA - Hazy (NEIPA),regular
Flying Monkeys The Chocolate Manifesto,Flying Monkeys Craft Brewery,Stout - Imperial Flavored / Pastry,special seasonal
Muskoka Mad Tom IPA,Muskoka Brewery,IPA,regular
Collective Arts Stranger Than Fiction,Collective Arts Brewing,Porter,regular
Collective Arts Jam Up The Mash,Collective Arts Brewing,Sour / Wild Beer,special seasonal
Flying Monkeys Netherworld Cascadian Dark Ale,Flying Monkeys Craft Brewery,IPA - Black / Brown / Cascadian Dark,special seasonal
Nickel Brook Kentucky Bastard,Nickel Brook Brewing Co.,Stout - Imperial,winter seasonal
Bellwoods Jelly King,Bellwoods Brewery,Sour / Wild Beer,regular
Mill Street Tankhouse Ale,Mill Street Brewery (AB InBev),Pale Ale,regular
Bellwoods Bring Out Your Dead (BOYD),Bellwoods Brewery,Stout - Imperial,special seasonal
Flying Monkeys Hoptical Illusion,Flying Monkeys Craft Brewery,Pale Ale - American (APA),regular
Hop City Barking Squirrel,Hop City Brewing Co. (Moosehead),Amber Lager - International / Vienna,regular
Collective Arts Rhyme and Reason,Collective Arts Brewing,Pale Ale - American (APA),regular
Nickel Brook Head Stock IPA,Nickel Brook Brewing Co.,IPA,regular
Muskoka Winter Beard Double Chocolate Cranberry Stout,Muskoka Brewery,Stout - Imperial Flavored / Pastry,winter seasonal
Labatt Blue,Labatt Brewing Company (Labatt - AB InBev),Pale Lager - American,regular
Flying Monkeys Juicy Ass IPA,Flying Monkeys Craft Brewery,IPA - Hazy (NEIPA),special seasonal
Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery (Canada),Pale Ale - American (APA),regular
Guinness Extra Stout (North America),Labatt Brewing Company (Labatt - AB InBev),Stout - Dry / Irish,regular
Bellwoods Jutsu,Bellwoods Brewery,Pale Ale - American (APA),regular
Collective Arts Radio The Mothership,Collective Arts Brewing,IIPA DIPA - Imperial / Double IPA,regular
Grand River Russian Gun,Grand River Brewing (Magnotta),Stout - Imperial,regular
Mill Street Cobblestone Stout,Mill Street Brewery (AB InBev),Stout - Dry / Irish,autumn seasonal
Hop City HopBot,Hop City Brewing Co. (Moosehead),IPA,regular
Collective Arts Guava Gose,Collective Arts Brewing,Gose - Flavored,regular
Mill Street Coffee Porter,Mill Street Brewery (AB InBev),Porter - Flavored,regular
Side Launch Wheat,Side Launch Brewing Company,Weissbier - Hefeweizen,regular
Bellwoods Witchshark Imperial IPA,Bellwoods Brewery,IIPA DIPA - Imperial / Double Hazy (NEIPA),regular
Sawdust City Lone Pine IPA,Sawdust City Brewing Co.,IPA,regular
Collective Arts Saint of Circumstance,Collective Arts Brewing,Blonde Ale / Golden Ale,regular
Bellwoods Roman Candle,Bellwoods Brewery,IPA - Hazy (NEIPA),regular
Amsterdam Boneshaker IPA,Amsterdam Brewery,IPA,regular
Wellington Imperial Russian Stout,Wellington Brewery (Canada),Stout - Imperial,regular
Great Lakes Brewery Octopus Wants to Fight - IPA,Great Lakes Brewery (Canada),IPA,special seasonal
Great Lakes Brewery 666: Devil's Pale Ale,Great Lakes Brewery (Canada),Pale Ale - American (APA),autumn seasonal
Beau's Lug Tread,Beau's Brewing Co. / Halcyon Barrel House,Kölsch / Kölsch-Style,regular
Nickel Brook Café Del Bastardo,Nickel Brook Brewing Co.,Stout - Imperial Flavored / Pastry,series seasonal
Bellwoods Skeleton Key,Bellwoods Brewery,Stout - Imperial Flavored / Pastry,regular
Nickel Brook Winey Bastard,Nickel Brook Brewing Co.,Stout - Imperial,special seasonal
Creemore Springs Premium Lager,Creemore Springs Brewery (Six Pints - Molson Coors),Pale Lager - International / Premium,regular
Collective Arts Imperial Porter - Barrel-Aged (2017-),Collective Arts Brewing,Porter - Imperial,regular
Nickel Brook Naughty Neighbour,Nickel Brook Brewing Co.,Pale Ale - American (APA),regular
Muskoka Twice As Mad Tom,Muskoka Brewery,IIPA DIPA - Imperial / Double IPA,special seasonal
Muskoka Detour,Muskoka Brewery,ISA - Session IPA,regular
Cameron's Obsidian Imperial Porter Rum Barrel Aged,Cameron's Brewing,Porter - Imperial,special seasonal
Beyond the Pale Aromatherapy - American IPA,Beyond the Pale Brewing Company,IPA - Hazy (NEIPA),regular
Black Oak 10 Bitter Years,Black Oak Brewing Co.,IIPA DIPA - Imperial / Double IPA,special seasonal
Muskoka Harvest Ale,Muskoka Brewery,Pale Ale - American (APA),autumn seasonal
Collective Arts Hazy State,Collective Arts Brewing,ISA - Session IPA,regular
Steam Whistle Pilsner,Steam Whistle Brewing,Pale Lager - International / Premium,regular
Beau's Full Time IPA,Beau's Brewing Co. / Halcyon Barrel House,IPA,regular
Muskoka Legendary Muskoka Oddity,Muskoka Brewery,Flavored - Other,spring seasonal
Sleeman Honey Brown Lager,Sleeman Breweries (Sapporo),Amber Lager - International / Vienna,regular
Great Lakes Brewery Karma Citra,Great Lakes Brewery (Canada),IPA,special seasonal
Bellwoods Hellwoods,Bellwoods Brewery,Stout - Imperial,regular
Great Lakes Brewery Lake Effect IPA,Great Lakes Brewery (Canada),IPA,series seasonal
Collective Arts State of Mind,Collective Arts Brewing,ISA - Session IPA,special seasonal
Amsterdam Tempest Imperial Stout,Amsterdam Brewery,Stout - Imperial,special seasonal
Collective Arts Good Monster,Collective Arts Brewing,IIPA DIPA - Imperial / Double Hazy (NEIPA),regular
Cameron's Rye Pale Ale,Cameron's Brewing,Pale Ale - Rye,regular
Beyond the Pale Saison Tropicale,Beyond the Pale Brewing Company,Saison / Farmhouse / Grisette,special seasonal
Nickel Brook Bolshevik Bastard,Nickel Brook Brewing Co.,Stout - Imperial,regular
Sleeman Cream Ale,Sleeman Breweries (Sapporo),Cream Ale,regular
Mill Street Original Organic Lager,Mill Street Brewery (AB InBev),Pale Lager - International / Premium,regular
Nickel Brook Immodest Imperial India Pale Ale,Nickel Brook Brewing Co.,IIPA DIPA - Imperial / Double IPA,special seasonal
Mill Street Barley Wine,Mill Street Brewery (AB InBev),Barley Wine / Wheat Wine / Rye Wine,winter seasonal
Indie Alehouse Instigator IPA,Indie Alehouse Brewing Co.,IPA,regular
Great Lakes Brewery Pompous Ass,Great Lakes Brewery (Canada),Pale Ale - English,regular
Bellwoods White Picket Fence Foeder Blended Saison,Bellwoods Brewery,Saison / Farmhouse / Grisette,special seasonal
Beau's The Bottle Imp,Beau's Brewing Co. / Halcyon Barrel House,Stout - Imperial Flavored / Pastry,regular
Nickel Brook Uber (Raspberry),Nickel Brook Brewing Co.,Berliner Weisse - Flavored / Catharina Sour,regular
Bellwoods Grandma's Boy (2016 - ),Bellwoods Brewery,Sour / Wild Beer - Flavored,special seasonal
Church-Key Holy Smoke,Church-Key Brewing Company,Smoked - Rauchbier,regular
Flying Monkeys Live Transmission ,Flying Monkeys Craft Brewery,IPA - Milkshake / Smoothie,regular
Hockley Valley Hockley Dark,Hockley Valley Brewing Co.,Brown Ale,regular
Flying Monkeys The Matador Version 2.0 El Toro Bravo,Flying Monkeys Craft Brewery,Specialty Grain - Rye / Roggenbier,winter seasonal
Spearhead Hawaiian Style Pale Ale,Spearhead Brewing Company,IPA,regular
Collective Arts Prophets & Nomads,Collective Arts Brewing,Gose,regular
Beau's Wag the Wolf,Beau's Brewing Co. / Halcyon Barrel House,Wheat Ale - India / Hopfenweisse,regular
