beer,brewery,style,status
Alley Kat Olde Deuteronomy Barley Wine,Alley Kat Brewing Company,Barley Wine / Wheat Wine / Rye Wine,winter seasonal
Half Pints Burlywine,Half Pints Brewing Co.,Barley Wine / Wheat Wine / Rye Wine,winter seasonal
Half Pints Humulus Ludicrous,Half Pints Brewing Co.,IIPA DIPA - Imperial / Double IPA,special seasonal
Half Pints Little Scrapper IPA,Half Pints Brewing Co.,IPA,regular
Half Pints Stir Stick Stout,Half Pints Brewing Co.,Stout - Flavored / Pastry,regular
Big Rock Grasshopper Kristallweizen,Big Rock Brewery,Wheat Ale,regular
Big Rock Traditional Ale,Big Rock Brewery,Brown Ale,regular
Wild Rose IPA,Wild Rose Brewery (Sleeman - Sapporo),IPA,regular
Alley Kat Full Moon Pale Ale,Alley Kat Brewing Company,Pale Ale - American (APA),regular
Paddock Wood 606 India Pale Ale,Paddock Wood Brewing Co.,IPA,special seasonal
Paddock Wood Barrel Full of Monkeys Imperial Stout,Paddock Wood Brewing Co.,Stout - Imperial,special seasonal
Fort Garry Kona Imperial Stout,Fort Garry Brewing,Stout - Imperial Flavored / Pastry,series seasonal
Paddock Wood London Porter,Paddock Wood Brewing Co.,Porter,special seasonal
Half Pints Pothole Porter,Half Pints Brewing Co.,Porter - Baltic,spring seasonal
Blindman New England-Style Pale Ale,Blindman Brewing,Pale Ale - Hazy / New England,special seasonal
Half Pints Old Red Barn,Half Pints Brewing Co.,Sour Flemish Ale - Flanders Red / Oud Bruin,regular
Alley Kat Long Valley Scotch Ale,Alley Kat Brewing Company,Scotch Ale / Wee Heavy,special seasonal
Blindman Longshadows IPA,Blindman Brewing,IPA,regular
Paddock Wood Bête Noire Oatmeal Stout,Paddock Wood Brewing Co.,Stout - Oatmeal,regular
Blindman Triphammer Robust Porter,Blindman Brewing,Porter,regular
Blindman Ichorous Imperial Stout,Blindman Brewing,Stout - Imperial,winter seasonal
Village Blacksmith Black IPA,Village Brewery (Canada),IPA - Black / Brown / Cascadian Dark,regular
Apex White Raven IPA,Apex Brewing,IPA,regular
Brewsters Blue Monk Barley Wine,Brewsters Brewing Company & Restaurant,Barley Wine / Wheat Wine / Rye Wine,winter seasonal
Paddock Wood Sherbrooke Heartstopper Hot Chocolate Stout,Paddock Wood Brewing Co.,Stout,special seasonal
Half Pints Bulldog Amber Ale,Half Pints Brewing Co.,Red Ale / International Amber Ale,regular
Half Pints St. James Pale Ale,Half Pints Brewing Co.,Kölsch / Kölsch-Style,regular
Grizzly Paw Rutting Elk Red,The Grizzly Paw Brewing Company,Scottish Ale,regular
Klingon Warnog Roggen Dunkel,Federation of Beer,Specialty Grain - Rye / Roggenbier,regular
Black Bridge Milk Stout,Black Bridge Brewery (Canada),Stout - Milk / Sweet,regular
Fort Garry Dark Ale,Fort Garry Brewing,Mild Ale,regular
Fort Garry Portage and Main IPA,Fort Garry Brewing,IPA,regular
Paddock Wood Sherbrooke Ragutiene Baltic Porter,Paddock Wood Brewing Co.,Porter - Baltic,special seasonal
Paddock Wood Loki DIPA,Paddock Wood Brewing Co.,IIPA DIPA - Imperial / Double IPA,special seasonal
Paddock Wood Cherry Barrel Full of Monkeys,Paddock Wood Brewing Co.,Stout - Imperial,special seasonal
Wild Rose Barley Wine,Wild Rose Brewery (Sleeman - Sapporo),Barley Wine / Wheat Wine / Rye Wine,special seasonal
Torque Diesel Fitter Stout,Torque Brewing,Stout,regular
Big Rock Warthog English Style Mild Ale,Big Rock Brewery,Brown Ale,regular
Star Trek Klingon Imperial Porter,Federation of Beer,Porter - Imperial,special seasonal
Alley Kat Pumpkin Pie Spiced Ale,Alley Kat Brewing Company,Flavored - Other,autumn seasonal
Big Rock Citradelic,Big Rock Brewery,IPA,regular
Ribstone Creek Great White Combine IPA,Ribstone Creek Brewery,IPA - White,spring seasonal
Alley Kat St Portersburg Baltic Porter,Alley Kat Brewing Company,Porter - Baltic,regular
Blindman Imperial Stout - Basil Hayden Bourbon Barrel-Aged ,Blindman Brewing,Stout - Imperial,regular
Big Rock Scottish Style Heavy Ale,Big Rock Brewery,Scotch Ale / Wee Heavy,regular
Farmery Premium Lager,Farmery Estate Brewery,Pale Lager - International / Premium,regular
Bushwakker Palliser Porter,Bushwakker Brewing Co.,Porter,regular
Alley Kat Sherbrooke Glenda Sherbrooke,Alley Kat Brewing Company,Barley Wine / Wheat Wine / Rye Wine,special seasonal
Half Pints Phils Pils,Half Pints Brewing Co.,Pilsener / Pils / Pilsner,regular
Paddock Wood Sherbrooke Silenus Belgian Style Tripel,Paddock Wood Brewing Co.,Tripel,regular
Grizzly Paw Evolution IPA,The Grizzly Paw Brewing Company,IPA,winter seasonal
Black Bridge IPA!,Black Bridge Brewery (Canada),IPA,regular
Tool Shed Star Cheek IPA,Tool Shed Brewing Company,IPA,regular
Troubled Monk Pesky Pig Pale Ale,Troubled Monk,Pale Ale - American (APA),regular
Grizzly Paw Big Head Nutbrown,The Grizzly Paw Brewing Company,Brown Ale,regular
Last Best IPA,Last Best Brewing & Distilling (Bear Hill Brewing),IPA,regular
Situation Page Turner IPA,Situation Brewing,IPA,regular
Paddock Wood Xocolatl Porter Chocolate ,Paddock Wood Brewing Co.,Porter,special seasonal
Outcast Neon Nightmare,Outcast Brewing,IIPA DIPA - Imperial / Double IPA,regular
Outcast The Forgetful Brewer,Outcast Brewing,IIPA DIPA - Imperial / Double IPA,regular
Wild Rose Flanders Ave Red Barrel Aged Series,Wild Rose Brewery (Sleeman - Sapporo),Sour Flemish Ale - Flanders Red / Oud Bruin,series seasonal
Banded Peak Plainsbreaker Pale Ale,Banded Peak Brewing,Pale Ale - American (APA),regular
Banded Peak Southern Aspect,Banded Peak Brewing,IPA,regular
Blindman Ichorous Imperial Stout - Barrel-Aged,Blindman Brewing,Stout - Imperial,special seasonal
Blindman River Session Ale,Blindman Brewing,ISA - Session IPA,regular
Great Western Original 16 Canadian Pale/Blonde Ale,Great Western Brewing (Canada),Pale Ale - American (APA),regular
Blindman Perepllut,Blindman Brewing,Barley Wine / Wheat Wine / Rye Wine,regular
Big Rock Session IPA (India Pale Ale),Big Rock Brewery,ISA - Session IPA,regular
Half Pints Weizen Heimer,Half Pints Brewing Co.,Weissbier - Hefeweizen,spring seasonal
Outcast Last Minute Stout ,Outcast Brewing,Stout,regular
Banff Ave Head Smashed IPA,Banff Ave Brewing Company (Bear Hill Brewing),IPA,regular
Alley Kat Sherbrooke KGB Russian Imperial Stout,Alley Kat Brewing Company,Stout - Imperial,special seasonal
Jasper Rock Hopper IPA,Jasper Brewing Company (Bear Hill Brewing),IPA,regular
The Dandy Dandy In the Underworld,The Dandy Brewing Company,Stout - Milk / Sweet,regular
Trial & Ale Writer’s Blanc,Trial & Ale Brewing,Sour / Wild Beer,regular
Blind Enthusiasm Union Bhoys Lager,Blind Enthusiasm,Pale Lager - International / Premium,regular
Village Maiden,Village Brewery (Canada),ISA - Session IPA,summer seasonal
Partake IPA,Partake Brewing (Premium Near Beer),Low / No Alcohol Beer - Pale,regular
Wild Rose Barracks Brown Ale,Wild Rose Brewery (Sleeman - Sapporo),Brown Ale,regular
Brewsters Mad Hops,Brewsters Brewing Company & Restaurant,IIPA DIPA - Imperial / Double IPA,summer seasonal
Torque Red Line IPA,Torque Brewing,IPA - Red,regular
Paddock Wood Czech Mate,Paddock Wood Brewing Co.,Pilsener - Bohemian / Czech,special seasonal
Half Pints Saison De La Ceinture Fléchée,Half Pints Brewing Co.,Saison / Farmhouse / Grisette,special seasonal
