beer,brewery,style,status
Dieu du Ciel! Péché Mortel,Brasserie Dieu du Ciel!,Stout - Imperial Flavored / Pastry,special seasonal
Dieu du Ciel! Aphrodisiaque,Brasserie Dieu du Ciel!,Stout - Flavored / Pastry,regular
Unibroue La Fin du Monde,Unibroue (Sleeman - Sapporo),Tripel,regular
Unibroue Trois Pistoles,Unibroue (Sleeman - Sapporo),Belgian Ale - Strong Dark,regular
Unibroue Maudite,Unibroue (Sleeman - Sapporo),Dubbel,regular
Dieu du Ciel! Solstice d'Hiver,Brasserie Dieu du Ciel!,Barley Wine / Wheat Wine / Rye Wine,winter seasonal
St-Ambroise Noire à l'Avoine / Oatmeal Stout,Brasserie McAuslan (Brasseurs RJ),Stout - Oatmeal,regular
Dieu du Ciel! Corne du Diable,Brasserie Dieu du Ciel!,IPA - English,regular
Dieu du Ciel! Rigor Mortis Abt,Brasserie Dieu du Ciel!,Quadrupel / Abt,winter seasonal
Dieu du Ciel! Grande Noirceur,Brasserie Dieu du Ciel!,Stout - Imperial,regular
Les Trois Mousquetaires Porter Baltique,Les Trois Mousquetaires [LTM],Porter - Baltic,regular
Dieu du Ciel! Dernière Volonté,Brasserie Dieu du Ciel!,Belgian Ale - Pale / Golden / Single,regular
Unibroue Blanche de Chambly,Unibroue (Sleeman - Sapporo),Witbier / Belgian White Ale,regular
Dieu du Ciel! Équinoxe du Printemps,Brasserie Dieu du Ciel!,Scotch Ale / Wee Heavy,winter seasonal
Dieu du Ciel! / The Alchemist Moralité,Brasserie Dieu du Ciel!,IPA,regular
Unibroue Don de Dieu,Unibroue (Sleeman - Sapporo),Belgian Ale - Strong Pale,regular
Dieu du Ciel! Rosée d'Hibiscus,Brasserie Dieu du Ciel!,Flavored - Other,regular
Unibroue Terrible,Unibroue (Sleeman - Sapporo),Quadrupel / Abt,regular
Dieu du Ciel! Péché Mortel - Bourbon,Brasserie Dieu du Ciel!,Stout - Imperial Flavored / Pastry,special seasonal
Dieu du Ciel! Solstice d'Été aux Framboises,Brasserie Dieu du Ciel!,Berliner Weisse - Flavored / Catharina Sour,summer seasonal
Dieu du Ciel! Route des Épices,Brasserie Dieu du Ciel!,Flavored - Other,regular
Unibroue 17,Unibroue (Sleeman - Sapporo),Belgian Ale - Strong Dark,special seasonal
Dieu du Ciel! Disco Soleil,Brasserie Dieu du Ciel!,IPA - Flavored,regular
Charlevoix Lupulus,Microbrasserie Charlevoix,IIPA DIPA - Imperial / Double IPA,special seasonal
Dieu du Ciel! Isseki Nicho,Brasserie Dieu du Ciel!,Saison / Farmhouse - Dark,special seasonal
Le Trou du Diable Saison du Tracteur,Le Trou du Diable (Six Pints - Molson Coors),Saison / Farmhouse / Grisette,regular
Unibroue Éphémère Pomme / Apple,Unibroue (Sleeman - Sapporo),Flavored - Fruit,spring seasonal
Le Trou du Diable Dulcis Succubus,Le Trou du Diable (Six Pints - Molson Coors),Saison / Farmhouse / Grisette,regular
St-Ambroise Stout Impériale Russe,Brasserie McAuslan (Brasseurs RJ),Stout - Imperial,winter seasonal
St-Ambroise Vintage / Ale Millésimée,Brasserie McAuslan (Brasseurs RJ),Barley Wine / Wheat Wine / Rye Wine,autumn seasonal
Dieu du Ciel! Herbe à Détourne,Brasserie Dieu du Ciel!,Tripel,regular
Dieu du Ciel! Pénombre,Brasserie Dieu du Ciel!,IPA - Black / Brown / Cascadian Dark,regular
Dieu du Ciel! Blanche du Paradis,Brasserie Dieu du Ciel!,Witbier / Belgian White Ale,regular
Charlevoix Dominus Vobiscum Triple,Microbrasserie Charlevoix,Tripel,regular
Les Trois Mousquetaires Porter Baltique (Bourbon & Brandy),Les Trois Mousquetaires [LTM],Porter - Baltic,special seasonal
Unibroue Raftman,Unibroue (Sleeman - Sapporo),Smoked - Other,regular
Le Trou du Diable La Buteuse Brassin Spécial (Calvados),Le Trou du Diable (Six Pints - Molson Coors),Tripel,regular
Le Trou du Diable La Buteuse ,Le Trou du Diable (Six Pints - Molson Coors),Tripel,regular
Le Castor Yakima IPA,Microbrasserie Le Castor Brewing Co.,IPA,regular
Les Trois Mousquetaires Doppelbock,Les Trois Mousquetaires [LTM],Bock - Doppelbock,regular
Charlevoix Dominus Vobiscum Double,Microbrasserie Charlevoix,Dubbel,regular
Unibroue Eau Bénite,Unibroue (Sleeman - Sapporo),Tripel,regular
Unibroue Quelque Chose,Unibroue (Sleeman - Sapporo),Flavored - Fruit,winter seasonal
Unibroue Noire de Chambly,Unibroue (Sleeman - Sapporo),Belgian Ale - Dark / Amber,regular
Les Trois Mousquetaires Gose,Les Trois Mousquetaires [LTM],Gose,summer seasonal
Dieu du Ciel! Chemin de Croix,Brasserie Dieu du Ciel!,Porter,series seasonal
Charlevoix Dominus Vobiscum Hibernus,Microbrasserie Charlevoix,Belgian Ale - Strong Dark,winter seasonal
St-Ambroise Abricot / Apricot Wheat Ale,Brasserie McAuslan (Brasseurs RJ),Flavored - Fruit,regular
Les Trois Mousquetaires Sticke Alt,Les Trois Mousquetaires [LTM],Altbier / Sticke Alt,series seasonal
Charlevoix Vache Folle Imperial Milk Stout,Microbrasserie Charlevoix,Stout - Imperial,regular
Dieu du Ciel! Chaman,Brasserie Dieu du Ciel!,IIPA DIPA - Imperial / Double IPA,winter seasonal
Les Trois Mousquetaires Weizenbock,Les Trois Mousquetaires [LTM],Weissbier - Weizenbock,regular
Unibroue Megadeth À Tout Le Monde,Unibroue (Sleeman - Sapporo),Saison / Farmhouse / Grisette,special seasonal
Le Trou du Diable Les Quatre Surfeurs de l'Apocalypso,Le Trou du Diable (Six Pints - Molson Coors),IPA - White,regular
Dieu du Ciel! Solstice d'Hiver Réserve (Oak Aged / Bourbon),Brasserie Dieu du Ciel!,Barley Wine / Wheat Wine / Rye Wine,winter seasonal
St-Ambroise Pale Ale,Brasserie McAuslan (Brasseurs RJ),Pale Ale - American (APA),regular
Le Bilboquet MacKroken Flower,Le Bilboquet - Microbrasserie / Brasserie Olten,Scotch Ale / Wee Heavy,special seasonal
Dunham / Kissmeyer Leo’s Early Breakfast,Brasserie Dunham,IPA - Flavored,regular
St-Ambroise Citrouille / Great Pumpkin Ale,Brasserie McAuslan (Brasseurs RJ),Flavored - Pumpkin / Vegetables,autumn seasonal
Dieu du Ciel! Solstice d'Été aux Cerises,Brasserie Dieu du Ciel!,Berliner Weisse - Flavored / Catharina Sour,winter seasonal
Le Trou du Diable Sang-d'Encre,Le Trou du Diable (Six Pints - Molson Coors),Stout - Dry / Irish,regular
Dunham Saison du Pinacle,Brasserie Dunham,Saison / Farmhouse / Grisette,special seasonal
Unibroue Seigneuriale,Unibroue (Sleeman - Sapporo),Belgian Ale - Strong Pale,regular
Le Trou du Diable la Morsure,Le Trou du Diable (Six Pints - Molson Coors),IPA,regular
Dunham Saison Rustique,Brasserie Dunham,Saison / Farmhouse / Grisette,regular
Le Trou du Diable L'Impératrice Brassin Spécial (Bourbon Américain),Le Trou du Diable (Six Pints - Molson Coors),Stout - Imperial,special seasonal
Hopfenstark Boson de Higgs,Hopfenstark [Ho.st],Saison / Farmhouse / Grisette,regular
Unibroue La Resolution,Unibroue (Sleeman - Sapporo),Belgian Ale - Strong Dark,special seasonal
Charlevoix Saison,Microbrasserie Charlevoix,Saison / Farmhouse / Grisette,autumn seasonal
Charlevoix Blanche de Charlevoix,Microbrasserie Charlevoix,Witbier / Belgian White Ale,regular
À l'Abri de la Tempête Corne de Brume,À l'Abri de la Tempête,Scotch Ale / Wee Heavy,special seasonal
Dunham Black IPA,Brasserie Dunham,IPA - Black / Brown / Cascadian Dark,special seasonal
Dieu du Ciel! Immoralité,Brasserie Dieu du Ciel!,IIPA DIPA - Imperial / Double IPA,spring seasonal
Dieu du Ciel! Charbonnière,Brasserie Dieu du Ciel!,Smoked - Rauchbier,regular
Le Trou du Diable La Grivoise de Noël,Le Trou du Diable (Six Pints - Molson Coors),Belgian Ale - Strong Pale,winter seasonal
Dieu du Ciel! Dernière Volonté (Pinot Noir),Brasserie Dieu du Ciel!,Belgian Ale - Pale / Golden / Single,special seasonal
Dunham LaPatt Porter Robuste,Brasserie Dunham,Porter,special seasonal
Les Trois Mousquetaires Oud Bruin,Les Trois Mousquetaires [LTM],Sour Flemish Ale - Flanders Red / Oud Bruin,special seasonal
Boréale IPA du Nord-Est,Boréale - Brasseurs du Nord,IPA - Hazy (NEIPA),series seasonal
Dunham Saison Réserve,Brasserie Dunham,Saison / Farmhouse - Flavored,regular
Dieu du Ciel! Hérétique,Brasserie Dieu du Ciel!,Sour / Wild Beer,special seasonal
Auval Espinay,Brasserie Auval Brewing Co.,Saison / Farmhouse / Grisette,regular
Dieu du Ciel! Saison du Parc,Brasserie Dieu du Ciel!,Saison / Farmhouse / Grisette,regular
Dunham Assemblage  1,Brasserie Dunham,Sour / Wild Beer,special seasonal
Dieu du Ciel! Déesse Nocturne,Brasserie Dieu du Ciel!,Stout,regular
Le Trou du Diable L'Ours,Le Trou du Diable (Six Pints - Molson Coors),Sour / Wild Beer,special seasonal
Unibroue La Fringante,Unibroue (Sleeman - Sapporo),Tripel,regular
Hopfenstark Saison Station 16,Hopfenstark [Ho.st],Saison / Farmhouse / Grisette,spring seasonal
Le Trou du Diable Dubaï Pillée,Le Trou du Diable (Six Pints - Molson Coors),IIPA DIPA - Imperial / Double IPA,regular
Le Bilboquet La Corriveau Impériale (Bourbon),Le Bilboquet - Microbrasserie / Brasserie Olten,Stout - Imperial,regular
Le Trou du Diable Mactavish In Memoriam,Le Trou du Diable (Six Pints - Molson Coors),Pale Ale - American (APA),regular
Hopfenstark Saison Station 55,Hopfenstark [Ho.st],IPA - Belgian / Saison,autumn seasonal
Dieu du Ciel! Péché Véniel,Brasserie Dieu du Ciel!,Stout - Flavored / Pastry,special seasonal
Le Castor Wee Heavy (Bourbon),Microbrasserie Le Castor Brewing Co.,Scotch Ale / Wee Heavy,regular
Dieu du Ciel! Voyageur des Brumes,Brasserie Dieu du Ciel!,Bitter - Premium / Strong / Extra Special (ESB),regular
Unibroue Éphémère Cassis / Blackcurrant,Unibroue (Sleeman - Sapporo),Flavored - Fruit,autumn seasonal
Vox Populi Double Fruit Punch IPA,Microbrasserie Vox Populi (Groupe Glutenberg),IIPA DIPA - Imperial / Double IPA,regular
Simple Malt Noire Majestueuse,Simple Malt - Brasseurs Illimités,Stout - Imperial,regular
Charlevoix Flacatoune,Microbrasserie Charlevoix,Belgian Ale - Pale / Golden / Single,regular
À l'Abri de la Tempête Corps Mort,À l'Abri de la Tempête,Barley Wine / Wheat Wine / Rye Wine,regular
Dieu du Ciel! Dernière Volonté - Brettanomyces,Brasserie Dieu du Ciel!,Sour / Wild Beer,special seasonal
Dieu du Ciel! Petit Détour,Brasserie Dieu du Ciel!,IPA,regular
Les Trois Mousquetaires Saison Brett,Les Trois Mousquetaires [LTM],Saison / Farmhouse / Grisette,special seasonal
Charlevoix La Vache Folle ESB,Microbrasserie Charlevoix,Bitter - Premium / Strong / Extra Special (ESB),regular
Les Trois Mousquetaires Pale Ale Américaine ,Les Trois Mousquetaires [LTM],Pale Ale - American (APA),series seasonal
St-Ambroise India Pale Ale,Brasserie McAuslan (Brasseurs RJ),IPA,regular
Les Trois Mousquetaires IPA,Les Trois Mousquetaires [LTM],IPA,regular
Pit Caribou La Gaspésienne,Microbrasserie Pit Caribou,Porter,regular
Dunham Propolis,Brasserie Dunham,Saison / Farmhouse - Flavored,regular
Dieu du Ciel! Péché Mortel - Édition Spéciale 2016 - 2017,Brasserie Dieu du Ciel!,Stout - Imperial Flavored / Pastry,special seasonal
Charlevoix Vache Folle RyePA,Microbrasserie Charlevoix,IPA - Rye,regular
Le Bilboquet La Corriveau,Le Bilboquet - Microbrasserie / Brasserie Olten,Stout - Oatmeal,regular
Dunham Petite Mort,Brasserie Dunham,Stout - Imperial,regular
Hopfenstark Saison Station 7,Hopfenstark [Ho.st],Saison / Farmhouse / Grisette,regular
