brewery,link,type,address
100 Acre Brewing,/brewers/100-acre-brewing/51557/,Microbrewery,"390 Ashburnham Dr, Peterborough, Ontario, K9J 6X7, Canada"
1000 Islands Brewery,/brewers/1000-islands-brewery/41081/,Brewpub/Brewery,"65 King St West, Brockville, Ontario, K6V 3P8, Canada"
11 Comtés - Brasserie Rurale,/brewers/11-comtes-brasserie-rurale/35265/,Brewpub/Brewery,"225 rue Pope, Cookshire-Eaton, Quebec, J0B1M0, Canada"
13 Barrels Brewing,/brewers/13-barrels-brewing/42120/,Brewpub/Brewery,"215 Rue Cunard, Bathurst, New Brunswick, E2A 0C4, Canada"
2 Crows Brewing,/brewers/2-crows-brewing/30040/,Microbrewery,"1932 Brunswick Street, Halifax, Nova Scotia, B3J 2G7, Canada"
21st Street Brewery,/brewers/21st-street-brewery/40448/,Brewpub/Brewery,"243 21st St East, Saskatoon, Saskatchewan, S7K 0B7, Canada"
3 Brasseurs / 3 Brewers (Canada),/brewers/3-brasseurs-3-brewers-canada/5673/,Brewpub,"Quebec, Canada"
3 Dogs Brewing,/brewers/3-dogs-brewing/33825/,Microbrewery,"1515 Johnston Rd, White Rock, British Columbia, V4B 3Z6, Canada"
33 Acres Brewing Co.,/brewers/33-acres-brewing-co/17094/,Brewpub/Brewery,"15 W. 8th Ave, Vancouver, British Columbia, V5Y 1M8, Canada"
33 Brewing Experiment - 33B (33 Acres Brewing Co.),/brewers/33-brewing-experiment-33b-33-acres-brewing-co/37218/,Microbrewery,"25 W. 8th Ave., Vancouver, British Columbia, V5Y 1M8, Canada"
3Flip Brewing,/brewers/3flip-brewing/40748/,Microbrewery,"Douglas, New Brunswick, Canada"
4 Degrees Brewing Company [4°],/brewers/4-degrees-brewing-company-4°/28065/,Brewpub/Brewery,"275 Brockville St, Smith Falls, Ontario, K7A 4Z6, Canada"
4 Mile Brewing Co.,/brewers/4-mile-brewing-co/18968/,Brewpub,"199 Island Highway, Victoria, British Columbia, V9B 1G1, Canada"
46 North Brewing Co.,/brewers/46-north-brewing-co/39867/,Microbrewery,"1275 Kelly Lake Rd. Unit 1, Sudbury, Ontario, P3P 5P5, Canada"
4th Meridian Brewing Company,/brewers/4th-meridian-brewing-company/29507/,Microbrewery,"unit 6, 2626 50 Ave unit 1, Lloydminster, Alberta, T9V 2S3, Canada"
5 Paddles Brewing Company,/brewers/5-paddles-brewing-company/16900/,Microbrewery,"1390 Hopkins Street, Unit 3, Whitby, Ontario, L1N 2C3, Canada"
555 Brewing Co.,/brewers/555-brewing-co/30627/,Brewpub/Brewery,"124 Picton Main St, Picton, Ontario, K0K 2T0, Canada"
57 North Kitchen + Brewery,/brewers/57-north-kitchen-brewery/45014/,Commercial Brewery,"Unit 111, 9914 Morrison St., Fort McMurray, Alberta, T9H 1V2, Canada"
5e Baron Microbrasserie,/brewers/5e-baron-microbrasserie/40971/,Brewpub,"55 rue Principale, Gatineau, Quebec, J9H 3L4, Canada"
7/62 Craft Brewers,/brewers/7-62-craft-brewers/43464/,Microbrewery,"162 Russel Street, Madoc, Ontario, K0K 2K0, Canada"
70 Acre Brew Co.,/brewers/70-acre-brew-co/46452/,Microbrewery,"310-6000 Buckingham Drive, Sherwood Park, Alberta, T8H 1A2, Canada"
8e Péché,/brewers/8e-peche/35922/,Client Brewer,"Quebec, Canada"
9 Mile Legacy Brewing Company,/brewers/9-mile-legacy-brewing-company/22740/,Brewpub/Brewery,"229 20th St W, Saskatoon, Saskatchewan, S7M 0W8, Canada"
948 Brewing Company,/brewers/948-brewing-company/36623/,Microbrewery,"123 Brewery Avenue, Airdrie, Alberta, T4A 0C9, Canada"
9zero2 Brewing Company,/brewers/9zero2-brewing-company/41991/,Microbrewery,"5963 NS-245, Antigonish, Nova Scotia, B2G 2L1, Canada"
À L'Abordage - Microbrasserie,/brewers/a-l39abordage-microbrasserie/24792/,Brewpub/Brewery,"6, Rue Principale Sud, Sutton, Quebec, J0E 2K0, Canada"
À l'Abri de la Tempête,/brewers/a-l39abri-de-la-tempete/5842/,Brewpub/Brewery,"286, Chemin Coulombe, Les Îles-de-la-Madeleine, Quebec, G4T 3V5, Canada"
À La Dérive - Brasserie Artisanale,/brewers/a-la-derive-brasserie-artisanale/35520/,Brewpub/Brewery,"1015 Rue Jacques-Cartier, Gatineau, Quebec, J8T 2W3, Canada"
À La Fût - Microbrasserie (Canada),/brewers/a-la-fut-microbrasserie-canada/8915/,Brewpub/Brewery,"640, Rue Notre-Dame, Saint-Tite, Quebec, G0X 3H0, Canada"
Abandoned Rail Brewing,/brewers/abandoned-rail-brewing/48217/,Microbrewery,"1220 Davenport Ave, Penticton, British Columbia, V2A 8V1, Canada"
Abbaye Des Sept Minutes (AD7M),/brewers/abbaye-des-sept-minutes-ad7m/47464/,Client Brewer,"Ontario, Canada"
Abe Erb Brewing Company,/brewers/abe-erb-brewing-company/21316/,Brewpub/Brewery,"Ontario, Canada"
Academy Brewing,/brewers/academy-brewing/40551/,Client Brewer,"British Columbia, Canada"
Acadie-Broue,/brewers/acadie-broue/12747/,Microbrewery,"382 Rue St-George, Moncton, New Brunswick, E1C 1W1, Canada"
Ace Brewing Company,/brewers/ace-brewing-company/41188/,Brewpub/Brewery,"150 Mansfield Dr, Courtenay, British Columbia, V9N 6C5, Canada"
Ace Hill Beer Company,/brewers/ace-hill-beer-company/26371/,Client Brewer,"Ontario, Canada"
A-Frame Brewing Company,/brewers/a-frame-brewing-company/29590/,Microbrewery,"38927 Queens Way #1, Squamish, British Columbia, V8B 0K9, Canada"
Alberni Brewing Company,/brewers/alberni-brewing-company/45737/,Microbrewery,"4630 Adelaide St,, Port Alberni,, British Columbia, V9Y 6N4, Canada"
Alchemy Brewing Company (Canada),/brewers/alchemy-brewing-company-canada/38388/,Microbrewery,"650 Victoria St, Kamloops, British Columbia, V2C2B4, Canada"
